Combination	Num_Genes	Count	Frequency(%)
eae/espK/stx2/ureD	4	141	100.0
eae/espV/stx1/stx2	4	141	100.0
eae/espV/stx1/ureD	4	141	100.0
eae/espV/stx2/ureD	4	141	100.0
eae/stx1/stx2/ureD	4	141	100.0
espK/espV/stx1/stx2	4	141	100.0
espK/espV/stx1/ureD	4	141	100.0
espK/espV/stx2/ureD	4	141	100.0
espK/stx1/stx2/ureD	4	141	100.0
espV/stx1/stx2/ureD	4	141	100.0
Z2098/eae/espK/espN	4	140	99.29
Z2098/eae/espN/espV	4	140	99.29
Z2098/eae/espN/stx1	4	140	99.29
Z2098/eae/espN/stx2	4	140	99.29
Z2098/eae/espN/ureD	4	140	99.29
Z2098/espK/espN/espV	4	140	99.29
Z2098/espK/espN/stx1	4	140	99.29
Z2098/espK/espN/stx2	4	140	99.29
Z2098/espK/espN/ureD	4	140	99.29
Z2098/espN/espV/stx1	4	140	99.29
Z2098/espN/espV/stx2	4	140	99.29
Z2098/espN/espV/ureD	4	140	99.29
Z2098/espN/stx1/stx2	4	140	99.29
Z2098/espN/stx1/ureD	4	140	99.29
Z2098/espN/stx2/ureD	4	140	99.29
eae/espK/espN/espV	4	140	99.29
eae/espK/espN/stx1	4	140	99.29
eae/espK/espN/stx2	4	140	99.29
eae/espK/espN/ureD	4	140	99.29
eae/espN/espV/stx1	4	140	99.29
eae/espN/espV/stx2	4	140	99.29
eae/espN/espV/ureD	4	140	99.29
eae/espN/stx1/stx2	4	140	99.29
eae/espN/stx1/ureD	4	140	99.29
eae/espN/stx2/ureD	4	140	99.29
espK/espN/espV/stx1	4	140	99.29
espK/espN/espV/stx2	4	140	99.29
espK/espN/espV/ureD	4	140	99.29
espK/espN/stx1/stx2	4	140	99.29
espK/espN/stx1/ureD	4	140	99.29
espK/espN/stx2/ureD	4	140	99.29
espN/espV/stx1/stx2	4	140	99.29
espN/espV/stx1/ureD	4	140	99.29
espN/espV/stx2/ureD	4	140	99.29
espN/stx1/stx2/ureD	4	140	99.29
Z2098/aggR/eae/espK	4	0	0.0
Z2098/aggR/eae/espN	4	0	0.0
Z2098/aggR/eae/espV	4	0	0.0
Z2098/aggR/eae/stx1	4	0	0.0
Z2098/aggR/eae/stx2	4	0	0.0
Z2098/aggR/eae/subA	4	0	0.0
Z2098/aggR/eae/ureD	4	0	0.0
Z2098/aggR/espK/espN	4	0	0.0
Z2098/aggR/espK/espV	4	0	0.0
Z2098/aggR/espK/stx1	4	0	0.0
Z2098/aggR/espK/stx2	4	0	0.0
Z2098/aggR/espK/subA	4	0	0.0
Z2098/aggR/espK/ureD	4	0	0.0
Z2098/aggR/espN/espV	4	0	0.0
Z2098/aggR/espN/stx1	4	0	0.0
Z2098/aggR/espN/stx2	4	0	0.0
Z2098/aggR/espN/subA	4	0	0.0
Z2098/aggR/espN/ureD	4	0	0.0
Z2098/aggR/espV/stx1	4	0	0.0
Z2098/aggR/espV/stx2	4	0	0.0
Z2098/aggR/espV/subA	4	0	0.0
Z2098/aggR/espV/ureD	4	0	0.0
Z2098/aggR/stx1/stx2	4	0	0.0
Z2098/aggR/stx1/subA	4	0	0.0
Z2098/aggR/stx1/ureD	4	0	0.0
Z2098/aggR/stx2/subA	4	0	0.0
Z2098/aggR/stx2/ureD	4	0	0.0
Z2098/aggR/subA/ureD	4	0	0.0
Z2098/eae/espK/subA	4	0	0.0
Z2098/eae/espN/subA	4	0	0.0
Z2098/eae/espV/subA	4	0	0.0
Z2098/eae/stx1/subA	4	0	0.0
Z2098/eae/stx2/subA	4	0	0.0
Z2098/eae/subA/ureD	4	0	0.0
Z2098/espK/espN/subA	4	0	0.0
Z2098/espK/espV/subA	4	0	0.0
Z2098/espK/stx1/subA	4	0	0.0
Z2098/espK/stx2/subA	4	0	0.0
Z2098/espK/subA/ureD	4	0	0.0
Z2098/espN/espV/subA	4	0	0.0
Z2098/espN/stx1/subA	4	0	0.0
Z2098/espN/stx2/subA	4	0	0.0
Z2098/espN/subA/ureD	4	0	0.0
Z2098/espV/stx1/subA	4	0	0.0
Z2098/espV/stx2/subA	4	0	0.0
Z2098/espV/subA/ureD	4	0	0.0
Z2098/stx1/stx2/subA	4	0	0.0
Z2098/stx1/subA/ureD	4	0	0.0
Z2098/stx2/subA/ureD	4	0	0.0
aggR/eae/espK/espN	4	0	0.0
aggR/eae/espK/espV	4	0	0.0
aggR/eae/espK/stx1	4	0	0.0
aggR/eae/espK/stx2	4	0	0.0
aggR/eae/espK/subA	4	0	0.0
aggR/eae/espK/ureD	4	0	0.0
aggR/eae/espN/espV	4	0	0.0
aggR/eae/espN/stx1	4	0	0.0
aggR/eae/espN/stx2	4	0	0.0
aggR/eae/espN/subA	4	0	0.0
aggR/eae/espN/ureD	4	0	0.0
aggR/eae/espV/stx1	4	0	0.0
aggR/eae/espV/stx2	4	0	0.0
aggR/eae/espV/subA	4	0	0.0
aggR/eae/espV/ureD	4	0	0.0
aggR/eae/stx1/stx2	4	0	0.0
aggR/eae/stx1/subA	4	0	0.0
aggR/eae/stx1/ureD	4	0	0.0
aggR/eae/stx2/subA	4	0	0.0
aggR/eae/stx2/ureD	4	0	0.0
aggR/eae/subA/ureD	4	0	0.0
aggR/espK/espN/espV	4	0	0.0
aggR/espK/espN/stx1	4	0	0.0
aggR/espK/espN/stx2	4	0	0.0
aggR/espK/espN/subA	4	0	0.0
aggR/espK/espN/ureD	4	0	0.0
aggR/espK/espV/stx1	4	0	0.0
aggR/espK/espV/stx2	4	0	0.0
aggR/espK/espV/subA	4	0	0.0
aggR/espK/espV/ureD	4	0	0.0
aggR/espK/stx1/stx2	4	0	0.0
aggR/espK/stx1/subA	4	0	0.0
aggR/espK/stx1/ureD	4	0	0.0
aggR/espK/stx2/subA	4	0	0.0
aggR/espK/stx2/ureD	4	0	0.0
aggR/espK/subA/ureD	4	0	0.0
aggR/espN/espV/stx1	4	0	0.0
aggR/espN/espV/stx2	4	0	0.0
aggR/espN/espV/subA	4	0	0.0
aggR/espN/espV/ureD	4	0	0.0
aggR/espN/stx1/stx2	4	0	0.0
aggR/espN/stx1/subA	4	0	0.0
aggR/espN/stx1/ureD	4	0	0.0
aggR/espN/stx2/subA	4	0	0.0
aggR/espN/stx2/ureD	4	0	0.0
aggR/espN/subA/ureD	4	0	0.0
aggR/espV/stx1/stx2	4	0	0.0
aggR/espV/stx1/subA	4	0	0.0
aggR/espV/stx1/ureD	4	0	0.0
aggR/espV/stx2/subA	4	0	0.0
aggR/espV/stx2/ureD	4	0	0.0
aggR/espV/subA/ureD	4	0	0.0
aggR/stx1/stx2/subA	4	0	0.0
aggR/stx1/stx2/ureD	4	0	0.0
aggR/stx1/subA/ureD	4	0	0.0
aggR/stx2/subA/ureD	4	0	0.0
eae/espK/espN/subA	4	0	0.0
eae/espK/espV/subA	4	0	0.0
eae/espK/stx1/subA	4	0	0.0
eae/espK/stx2/subA	4	0	0.0
eae/espK/subA/ureD	4	0	0.0
eae/espN/espV/subA	4	0	0.0
eae/espN/stx1/subA	4	0	0.0
eae/espN/stx2/subA	4	0	0.0
eae/espN/subA/ureD	4	0	0.0
eae/espV/stx1/subA	4	0	0.0
eae/espV/stx2/subA	4	0	0.0
eae/espV/subA/ureD	4	0	0.0
eae/stx1/stx2/subA	4	0	0.0
eae/stx1/subA/ureD	4	0	0.0
eae/stx2/subA/ureD	4	0	0.0
espK/espN/espV/subA	4	0	0.0
espK/espN/stx1/subA	4	0	0.0
espK/espN/stx2/subA	4	0	0.0
espK/espN/subA/ureD	4	0	0.0
espK/espV/stx1/subA	4	0	0.0
espK/espV/stx2/subA	4	0	0.0
espK/espV/subA/ureD	4	0	0.0
espK/stx1/stx2/subA	4	0	0.0
espK/stx1/subA/ureD	4	0	0.0
espK/stx2/subA/ureD	4	0	0.0
espN/espV/stx1/subA	4	0	0.0
espN/espV/stx2/subA	4	0	0.0
espN/espV/subA/ureD	4	0	0.0
espN/stx1/stx2/subA	4	0	0.0
espN/stx1/subA/ureD	4	0	0.0
espN/stx2/subA/ureD	4	0	0.0
espV/stx1/stx2/subA	4	0	0.0
espV/stx1/subA/ureD	4	0	0.0
espV/stx2/subA/ureD	4	0	0.0
stx1/stx2/subA/ureD	4	0	0.0
Z2098/eae/espK/espV/stx1	5	141	100.0
Z2098/eae/espK/espV/stx2	5	141	100.0
Z2098/eae/espK/espV/ureD	5	141	100.0
Z2098/eae/espK/stx1/stx2	5	141	100.0
Z2098/eae/espK/stx1/ureD	5	141	100.0
Z2098/eae/espK/stx2/ureD	5	141	100.0
Z2098/eae/espV/stx1/stx2	5	141	100.0
Z2098/eae/espV/stx1/ureD	5	141	100.0
Z2098/eae/espV/stx2/ureD	5	141	100.0
Z2098/eae/stx1/stx2/ureD	5	141	100.0
Z2098/espK/espV/stx1/stx2	5	141	100.0
Z2098/espK/espV/stx1/ureD	5	141	100.0
Z2098/espK/espV/stx2/ureD	5	141	100.0
Z2098/espK/stx1/stx2/ureD	5	141	100.0
Z2098/espV/stx1/stx2/ureD	5	141	100.0
eae/espK/espV/stx1/stx2	5	141	100.0
eae/espK/espV/stx1/ureD	5	141	100.0
eae/espK/espV/stx2/ureD	5	141	100.0
eae/espK/stx1/stx2/ureD	5	141	100.0
eae/espV/stx1/stx2/ureD	5	141	100.0
espK/espV/stx1/stx2/ureD	5	141	100.0
Z2098/eae/espK/espN/espV	5	140	99.29
Z2098/eae/espK/espN/stx1	5	140	99.29
Z2098/eae/espK/espN/stx2	5	140	99.29
Z2098/eae/espK/espN/ureD	5	140	99.29
Z2098/eae/espN/espV/stx1	5	140	99.29
Z2098/eae/espN/espV/stx2	5	140	99.29
Z2098/eae/espN/espV/ureD	5	140	99.29
Z2098/eae/espN/stx1/stx2	5	140	99.29
Z2098/eae/espN/stx1/ureD	5	140	99.29
Z2098/eae/espN/stx2/ureD	5	140	99.29
Z2098/espK/espN/espV/stx1	5	140	99.29
Z2098/espK/espN/espV/stx2	5	140	99.29
Z2098/espK/espN/espV/ureD	5	140	99.29
Z2098/espK/espN/stx1/stx2	5	140	99.29
Z2098/espK/espN/stx1/ureD	5	140	99.29
Z2098/espK/espN/stx2/ureD	5	140	99.29
Z2098/espN/espV/stx1/stx2	5	140	99.29
Z2098/espN/espV/stx1/ureD	5	140	99.29
Z2098/espN/espV/stx2/ureD	5	140	99.29
Z2098/espN/stx1/stx2/ureD	5	140	99.29
eae/espK/espN/espV/stx1	5	140	99.29
eae/espK/espN/espV/stx2	5	140	99.29
eae/espK/espN/espV/ureD	5	140	99.29
eae/espK/espN/stx1/stx2	5	140	99.29
eae/espK/espN/stx1/ureD	5	140	99.29
eae/espK/espN/stx2/ureD	5	140	99.29
eae/espN/espV/stx1/stx2	5	140	99.29
eae/espN/espV/stx1/ureD	5	140	99.29
eae/espN/espV/stx2/ureD	5	140	99.29
eae/espN/stx1/stx2/ureD	5	140	99.29
espK/espN/espV/stx1/stx2	5	140	99.29
espK/espN/espV/stx1/ureD	5	140	99.29
espK/espN/espV/stx2/ureD	5	140	99.29
espK/espN/stx1/stx2/ureD	5	140	99.29
espN/espV/stx1/stx2/ureD	5	140	99.29
Z2098/aggR/eae/espK/espN	5	0	0.0
Z2098/aggR/eae/espK/espV	5	0	0.0
Z2098/aggR/eae/espK/stx1	5	0	0.0
Z2098/aggR/eae/espK/stx2	5	0	0.0
